iter	Passed	Remaining
400	24319	6004
401	24383	5944
402	24445	5883
403	24508	5823
404	24574	5764
405	24638	5704
406	24701	5644
407	24764	5584
408	24826	5523
409	24886	5462
410	24947	5402
411	25013	5342
412	25076	5282
413	25139	5222
414	25204	5162
415	25274	5103
416	25341	5043
417	25413	4985
418	25475	4924
419	25538	4864
420	25600	4803
421	25665	4743
422	25727	4683
423	25797	4624
424	25861	4563
425	25926	4503
426	25989	4443
427	26061	4384
428	26123	4323
429	26188	4263
430	26261	4204
431	26338	4145
432	26405	4085
433	26467	4025
434	26527	3963
435	26593	3903
436	26659	3843
437	26741	3785
438	26805	3724
439	26868	3663
440	26932	3603
441	26998	3542
442	27061	3481
443	27124	3421
444	27184	3359
445	27251	3299
446	27314	3238
447	27375	3177
448	27443	3117
449	27507	3056
450	27570	2995
451	27631	2934
452	27702	2874
453	27770	2813
454	27835	2752
455	27902	2692
456	27967	2631
457	28031	2570
458	28094	2509
459	28158	2448
460	28248	2389
461	28335	2330
462	28401	2269
463	28466	2208
464	28531	2147
465	28596	2086
466	28660	2025
467	28725	1964
468	28788	1902
469	28849	1841
470	28912	1780
471	28974	1718
472	29036	1657
473	29098	1596
474	29161	1534
475	29226	1473
476	29292	1412
477	29355	1351
478	29421	1289
479	29487	1228
480	29563	1167
481	29632	1106
482	29698	1045
483	29762	983
484	29825	922
485	29888	860
486	29950	799
487	30011	737
488	30074	676
489	30137	615
490	30202	553
491	30269	492
492	30330	430
493	30394	369
494	30458	307
495	30520	246
496	30586	184
497	30651	123
498	30714	61
