model,train_auc,test_auc,train_f1,test_f1,train_acc,test_acc,auc_gap,f1_gap,acc_gap,rough_check
logistic baseline,0.8289402126430065,0.8250424075278727,0.7716883337581782,0.7726194510335479,0.7481016218243179,0.7484064491938508,0.0038978051151338233,-0.0009311172753696528,-0.0003048273695328563,no large train-test gap
catboost tuned,0.8766212714313601,0.8355002958927377,0.8037853794061469,0.7691242644513673,0.7881316208868473,0.7499062617172854,0.041120975538622484,0.03466111495477964,0.038225359169561934,no large train-test gap
