metric,catboost,logistic
acc,0.7511958068659099,0.7371326031641835
auc,0.8349144873322993,0.8170156195464703
brier,0.16451428819197475,0.17267168440486014
f1,0.769957714699021,0.7615558207627224
logloss,0.4942589394755853,0.5173664287954798
