model,train_auc,test_auc,train_f1,test_f1,train_acc,test_acc,auc_gap,f1_gap,acc_gap,rough_check
logistic baseline,0.8289402126430065,0.8250424075278727,0.7716883337581782,0.7726194510335479,0.7481016218243179,0.7484064491938508,0.0038978051151338233,-0.0009311172753696528,-0.0003048273695328563,no large train-test gap
catboost tuned,0.931570874706962,0.8224369703294121,0.8635971719261941,0.7679238871899422,0.8516921346207931,0.7439070116235471,0.10913390437754988,0.09567328473625192,0.10778512299724596,possible overfitting
