metric,catboost,logistic
acc,0.7532587609972446,0.7371326031641835
auc,0.8343318667955752,0.8170156195464703
brier,0.16486097695531532,0.17267168440315273
f1,0.770518490474154,0.7615558207627224
logloss,0.4958791049767809,0.5173664287962865
